efid,id,salesArea,score,scoreAlt,smartwayScore,standard,stdText
4HNXV03.2MJE,19332,3,1,-1,-1,B9,BIN 9
4HNXV03.2MJE,19332,7,1,-1,-1,L1,LEV
4HNXV03.2MJE,19333,3,1,-1,-1,B9,BIN 9
4HNXV03.2MJE,19333,7,1,-1,-1,L1,LEV
4ADXV01.8346,19334,3,1,-1,-1,B9,BIN 9
4ADXV01.8346,19334,7,1,-1,-1,L1,LEV
4ADXV01.8346,19335,3,1,-1,-1,B9,BIN 9
4ADXV01.8346,19335,7,1,-1,-1,L1,LEV
4VWXV03.2220,19336,3,1,-1,-1,B9,BIN 9
4VWXV03.2220,19336,7,1,-1,-1,L1,LEV
4BMXV03.0LER,19337,3,1,-1,-1,B9,BIN 9
4BMXV03.0LER,19337,7,1,-1,-1,L1,LEV
4BMXV03.0LER,19338,3,1,-1,-1,B9,BIN 9
4BMXV03.0LER,19338,7,1,-1,-1,L1,LEV
4BMXV03.0LER,19339,3,1,-1,-1,B9,BIN 9
4BMXV03.0LER,19339,7,1,-1,-1,L1,LEV
4BMXV03.0M5R,19340,3,1,-1,-1,B9,BIN 9
4BMXV03.0M5R,19340,7,2,-1,-1,U1,ULEV
4BMXV03.0M5R,19341,3,1,-1,-1,B9,BIN 9
4BMXV03.0M5R,19341,7,2,-1,-1,U1,ULEV
4BMXV03.0M5R,19342,3,1,-1,-1,B9,BIN 9
4BMXV03.0M5R,19342,7,2,-1,-1,U1,ULEV
4GMXV04.6067,19343,3,1,-1,-1,B9,BIN 9
4GMXV04.6067,19343,7,1,-1,-1,L1,LEV
4GMXV05.7081,19344,3,1,-1,-1,B9,BIN 9
4GMXV05.7081,19344,7,1,-1,-1,L1,LEV
4GMXV05.7081,19345,3,1,-1,-1,B9,BIN 9
4GMXV05.7081,19345,7,1,-1,-1,L1,LEV
4GMXV05.7082,19345,3,1,-1,-1,B9,BIN 9
4GMXV05.7082,19345,7,1,-1,-1,L1,LEV
4CRXV03.2VH0,19346,9,2,-1,-1,B8,BIN 8
4CRXV03.2VH0,19347,9,2,-1,-1,B8,BIN 8
4CRXV08.3VM0,19348,3,1,-1,-1,B9,BIN 9
4CRXV08.3VM0,19348,7,1,-1,-1,L1,LEV
4FEXV05.7LEV,19352,3,1,-1,-1,B9,BIN 9
4FEXV05.7LEV,19352,7,1,-1,-1,L1,LEV
4FEXV05.7LEV,19353,3,1,-1,-1,B9,BIN 9
4FEXV05.7LEV,19353,7,1,-1,-1,L1,LEV
4FMXV03.91H5,19354,3,1,-1,-1,B9,BIN 9
4FMXV03.91H5,19354,7,1,-1,-1,L1,LEV
4FMXV03.91H5,19354,8,1,-1,-1,L1,LEV
4FMXV03.91H5,19355,3,1,-1,-1,B9,BIN 9
4FMXV03.91H5,19355,7,1,-1,-1,L1,LEV
4FMXV03.91H5,19355,8,1,-1,-1,L1,LEV
4HNXV01.0NCE,19356,8,1,-1,-1,L1,LEV
4HNXV01.0NCE,19356,3,5,-1,1,B5,BIN 5
4HNXV01.0NCE,19356,7,8,-1,2,S2,SULEV II
4HNXV01.02A6,19357,3,1,-1,-1,B9,BIN 9
4HNXV01.02A6,19357,8,1,-1,-1,L1,LEV
4HNXV01.02A6,19357,7,2,-1,-1,U1,ULEV
4HNXV02.2PJE,19358,3,1,-1,-1,B9,BIN 9
4HNXV02.2PJE,19358,7,1,-1,-1,L1,LEV
4NLXV05.0404,19359,3,1,-1,-1,B9,BIN 9
4NLXV05.0404,19359,7,1,-1,-1,L1,LEV
4NLXV05.0404,19360,3,1,-1,-1,B9,BIN 9
4NLXV05.0404,19360,7,1,-1,-1,L1,LEV
4NLXV06.2474,19361,3,1,-1,-1,B9,BIN 9
4NLXV06.2474,19361,7,1,-1,-1,L1,LEV
4NLXV06.2474,19362,3,1,-1,-1,B9,BIN 9
4NLXV06.2474,19362,7,1,-1,-1,L1,LEV
4LTXV03.5918,19363,1,1,-1,-1,T1,Tier 1
4LTXV03.5918,19363,3,1,-1,-1,T1,Tier 1
4LTXV03.5918,19363,7,1,-1,-1,T1,Tier 1
4MAXV04.2LEV,19364,3,1,-1,-1,B9,BIN 9
4MAXV04.2LEV,19364,7,1,-1,-1,L1,LEV
4MAXV04.2LEV,19365,3,1,-1,-1,B9,BIN 9
4MAXV04.2LEV,19365,7,1,-1,-1,L1,LEV
4TKXV01.8AJA,19366,3,1,-1,-1,B9,BIN 9
4TKXV01.8AJA,19366,7,1,-1,-1,L1,LEV
4TKXV01.8AJA,19367,3,1,-1,-1,B9,BIN 9
4TKXV01.8AJA,19367,7,1,-1,-1,L1,LEV
4TKXV01.8AJA,19368,3,1,-1,-1,B9,BIN 9
4TKXV01.8AJA,19368,7,1,-1,-1,L1,LEV
4TKXV01.8AJA,19369,3,1,-1,-1,B9,BIN 9
4TKXV01.8AJA,19369,7,1,-1,-1,L1,LEV
4TKXV01.8AJB,19369,3,1,-1,-1,B9,BIN 9
4MBXV05.0L2A,19370,7,2,-1,-1,L1,LEV
4MBXV05.0L2A,19370,3,5,-1,-1,B5,BIN 5
4MBXV05.5LBX,19371,3,1,-1,-1,B9,BIN 9
4MBXV05.5LBX,19371,7,1,-1,-1,L1,LEV
4MBXV05.5LXY,19372,1,2,-1,-1,B8,BIN 8
4MBXV02.3LBI,19373,1,2,-1,-1,B8,BIN 8
4MBXV02.3LBI,19374,1,2,-1,-1,B8,BIN 8
4MBXV03.2LBX,19376,1,2,-1,-1,B8,BIN 8
4MBXV03.2LBX,19377,1,2,-1,-1,B8,BIN 8
4NSXV03.5N7C,19378,3,1,-1,-1,B9,BIN 9
4NSXV03.5N7C,19378,7,1,-1,-1,L1,LEV
4NSXV03.5N7C,19379,3,1,-1,-1,B9,BIN 9
4NSXV03.5N7C,19379,7,1,-1,-1,L1,LEV
4NSXV03.5N7C,19380,3,1,-1,-1,B9,BIN 9
4NSXV03.5N7C,19380,7,1,-1,-1,L1,LEV
4NSXV03.5N7C,19381,3,1,-1,-1,B9,BIN 9
4NSXV03.5N7C,19381,7,1,-1,-1,L1,LEV
4PRXV03.2986,19382,9,5,-1,-1,B5,BIN 5
4PRXV03.2986,19382,9,5,-1,-1,L2,LEV II
4PRXV03.2986,19383,9,5,-1,-1,B5,BIN 5
4PRXV03.2986,19383,9,5,-1,-1,L2,LEV II
4PRXV03.2986,19384,9,5,-1,-1,B5,BIN 5
4PRXV03.2986,19384,9,5,-1,-1,L2,LEV II
4PRXV03.2986,19385,9,5,-1,-1,B5,BIN 5
4PRXV03.2986,19385,9,5,-1,-1,L2,LEV II
4PRXV03.6GT3,19386,9,1,-1,-1,B9,BIN 9
4PRXV03.6GT3,19386,9,1,-1,-1,L1,LEV
4PRXV05.7CGT,19387,9,1,-1,-1,B9,BIN 9
4PRXV05.7CGT,19387,9,1,-1,-1,L1,LEV
4TYXV01.8VMD,19389,3,1,-1,-1,B9,BIN 9
4TYXV01.8VMD,19389,7,1,-1,-1,L1,LEV
4TYXV01.8VMD,19390,3,1,-1,-1,B9,BIN 9
4TYXV01.8VMD,19390,7,1,-1,-1,L1,LEV
4ASXV05.9V03,19391,9,3,-1,-1,B7,BIN 7
4ADXV01.8346,19392,3,1,-1,-1,B9,BIN 9
4ADXV01.8346,19392,7,1,-1,-1,L1,LEV
4ADXV01.8346,19393,3,1,-1,-1,B9,BIN 9
4ADXV01.8346,19393,7,1,-1,-1,L1,LEV
4VWXV03.2220,19394,3,1,-1,-1,B9,BIN 9
4VWXV03.2220,19394,7,1,-1,-1,L1,LEV
4BMXX03.0UL2,19395,3,5,-1,-1,B5,BIN 5
4BMXX03.0UL2,19395,7,6,-1,1,U2,ULEV II
4BMXX03.0UL2,19396,3,5,-1,-1,B5,BIN 5
4BMXX03.0UL2,19396,7,6,-1,-1,U2,ULEV II
4BMXV03.0SMG,19397,3,1,-1,-1,B9,BIN 9
4BMXV03.0SMG,19397,7,2,-1,-1,U1,ULEV
4BMXX03.0UL2,19398,3,5,-1,-1,B5,BIN 5
4BMXX03.0UL2,19398,7,6,-1,1,U2,ULEV II
4BMXX03.0UL2,19399,3,5,-1,-1,B5,BIN 5
4BMXX03.0UL2,19399,7,6,-1,-1,U2,ULEV II
4BMXV03.0SMG,19400,3,1,-1,-1,B9,BIN 9
4BMXV03.0SMG,19400,7,2,-1,-1,U1,ULEV
4BMXV03.2S54,19401,3,1,-1,-1,B9,BIN 9
4BMXV03.2S54,19401,7,1,-1,-1,L1,LEV
4BMXV03.2S54,19402,3,1,-1,-1,B9,BIN 9
4BMXV03.2S54,19402,7,1,-1,-1,L1,LEV
4JCXV04.2DN9,19403,3,5,-1,-1,B5,BIN 5
4JCXV04.2DN9,19403,7,5,-1,-1,L2,LEV II
4JCXV04.2DSA,19404,3,1,-1,-1,B9,BIN 9
4JCXV04.2DSA,19404,7,1,-1,-1,L1,LEV
4TYXV04.3WMA,19405,3,1,-1,-1,B9,BIN 9
4TYXV04.3WMA,19405,7,2,-1,-1,U1,ULEV
4BMXV01.6R50,19406,3,1,-1,-1,B9,BIN 9
4BMXV01.6R50,19406,7,1,-1,-1,L1,LEV
4BMXV01.6R50,19407,3,1,-1,-1,B9,BIN 9
4BMXV01.6R50,19407,7,1,-1,-1,L1,LEV
4BMXV01.6R50,19408,3,1,-1,-1,B9,BIN 9
4BMXV01.6R50,19408,7,1,-1,-1,L1,LEV
4DSXV02.4G2G,19409,7,2,-1,-1,U1,ULEV
4DSXV02.4GBB,19409,3,1,-1,-1,B9,BIN 9
4DSXV02.4GBB,19409,7,1,-1,-1,L1,LEV
4DSXV02.4G2G,19410,7,2,-1,-1,U1,ULEV
4DSXV02.4GBB,19410,3,1,-1,-1,B9,BIN 9
4DSXV02.4GBB,19410,7,1,-1,-1,L1,LEV
4DSXV03.0GBB,19411,3,1,-1,-1,B9,Bin 9
4DSXV03.0GBB,19411,7,1,-1,-1,LEV,LEV
4DSXV03.0GBC,19411,3,1,-1,-1,B9,BIN 9
4DSXV03.0GBC,19411,7,1,-1,-1,L1,LEV
4DSXV03.0GBB,19412,3,1,-1,-1,B9,BIN 9
4DSXV03.0GBB,19412,7,1,-1,-1,L1,LEV
4DSXV03.0GBC,19412,3,1,-1,-1,B9,Bin 9
4DSXV03.0GBC,19412,7,1,-1,-1,LEV,LEV
4DSXV03.0GBB,19413,3,1,-1,-1,B9,Bin 9
4DSXV03.0GBB,19413,7,1,-1,-1,LEV,LEV
4DSXV03.0GBC,19413,3,1,-1,-1,B9,BIN 9
4DSXV03.0GBC,19413,7,1,-1,-1,L1,LEV
4DSXV03.0GBB,19414,3,1,-1,-1,B9,BIN 9
4DSXV03.0GBB,19414,7,1,-1,-1,L1,LEV
4DSXV03.0GBC,19414,3,1,-1,-1,B9,Bin 9
4DSXV03.0GBC,19414,7,1,-1,-1,LEV,LEV
4ADXV01.8346,19441,3,1,-1,-1,B9,BIN 9
4ADXV01.8346,19441,7,1,-1,-1,L1,LEV
4ADXV01.8346,19442,3,1,-1,-1,B9,BIN 9
4ADXV01.8346,19442,7,1,-1,-1,L1,LEV
4VWXV02.0224,19444,3,5,-1,-1,B5,BIN 5
4VWXV02.0224,19444,7,6,-1,1,U2,ULEV II
4HNXV02.0XKC,19445,7,2,-1,1,L1,LEV
4HNXV02.0XKC,19445,3,5,-1,1,B5,BIN 5
4HNXV02.0RKC,19446,7,2,-1,1,L1,LEV
4HNXV02.0RKC,19446,3,5,-1,1,B5,BIN 5
4HNXV02.0XKC,19447,7,2,-1,1,L1,LEV
4HNXV02.0XKC,19447,3,5,-1,1,B5,BIN 5
4ADXV01.8342,19448,1,2,-1,-1,B8,BIN 8
4ADXV03.0344,19449,3,1,-1,-1,B9,BIN 9
4ADXV03.0344,19449,7,2,-1,-1,U1,ULEV
4ADXV03.0344,19450,3,1,-1,-1,B9,BIN 9
4ADXV03.0344,19450,7,2,-1,-1,U1,ULEV
4ADXV04.2345,19451,3,1,-1,-1,B9,BIN 9
4ADXV04.2345,19451,7,1,-1,-1,L1,LEV
4ADXV04.2345,19452,3,1,-1,-1,B9,BIN 9
4ADXV04.2345,19452,7,1,-1,-1,L1,LEV
4BMXX03.0UL2,19453,3,5,-1,-1,B5,BIN 5
4BMXX03.0UL2,19453,7,6,-1,1,U2,ULEV II
4BMXV02.5M56,19454,3,5,-1,-1,B5,BIN 5
4BMXV02.5M56,19454,7,9,-1,1,S2,LEV-II SULEV
4BMXX03.0UL2,19454,3,5,-1,-1,B5,BIN 5
4BMXX03.0UL2,19454,7,6,-1,1,U2,ULEV II
4BMXV03.0SMG,19455,3,1,-1,-1,B9,BIN 9
4BMXV03.0SMG,19455,7,2,-1,-1,U1,ULEV
4BMXX03.0UL2,19456,3,5,-1,-1,B5,BIN 5
4BMXX03.0UL2,19456,7,6,-1,1,U2,ULEV II
4BMXX03.0UL2,19457,3,5,-1,-1,B5,BIN 5
4BMXX03.0UL2,19457,7,6,-1,1,U2,ULEV II
4BMXV03.0SMG,19458,3,1,-1,-1,B9,BIN 9
4BMXV03.0SMG,19458,7,2,-1,-1,U1,ULEV
4BMXV04.4LEV,19459,3,1,-1,-1,B9,BIN 9
4BMXV04.4LEV,19459,7,1,-1,-1,L1,LEV
4BMXV04.4LEV,19460,3,1,-1,-1,B9,BIN 9
4BMXV04.4LEV,19460,7,1,-1,-1,L1,LEV
4BMXV04.4LEV,19461,3,1,-1,-1,B9,BIN 9
4BMXV04.4LEV,19461,7,1,-1,-1,L1,LEV
4BMXV04.4LEV,19462,3,1,-1,-1,B9,BIN 9
4BMXV04.4LEV,19462,7,1,-1,-1,L1,LEV
4BMXV04.4LEV,19463,3,1,-1,-1,B9,BIN 9
4BMXV04.4LEV,19463,7,1,-1,-1,L1,LEV
4BMXV04.4LEV,19464,3,1,-1,-1,B9,BIN 9
4BMXV04.4LEV,19464,7,1,-1,-1,L1,LEV
4BMXV03.2S54,19465,3,1,-1,-1,B9,BIN 9
4BMXV03.2S54,19465,7,1,-1,-1,L1,LEV
4BMXV03.2S54,19466,3,1,-1,-1,B9,BIN 9
